Question,Answer
"What is the Dräxlmaier Group?","The Dräxlmaier Group is a globally operating automotive supplier with its headquarters in Vilsbiburg, Germany."
"Can you describe the Dräxlmaier Group?","The Dräxlmaier Group is a globally operating automotive supplier based in Vilsbiburg, Germany, specializing in premium vehicle components."
"What industry does the Dräxlmaier Group operate in?","The Dräxlmaier Group operates in the automotive industry as a supplier."
"Is Dräxlmaier Group a public or private company?","The Dräxlmaier Group is a private, family-owned company."
"When was the Dräxlmaier Group founded?","The Dräxlmaier Group was founded in 1958."
"In what year did the Dräxlmaier Group start?","The Dräxlmaier Group was founded in 1958."
"Where is the headquarters of the Dräxlmaier Group located?","The headquarters of the Dräxlmaier Group is in the Lower Bavarian city of Vilsbiburg, Germany."
"What city is Dräxlmaier's main office in?","Dräxlmaier's headquarters is located in Vilsbiburg, Germany."
"How many locations does Dräxlmaier have worldwide?","The Dräxlmaier Group has 60 locations worldwide."
"What is the global presence of Dräxlmaier?","The Dräxlmaier Group operates globally with 60 locations worldwide."
"Who are the key people in the Dräxlmaier Group's management?","The management includes Managing Directors Stefan Brandl, Jan Reblin, Dr. Harald Straky, Arno Güllering, and Torsten Kurz. Friedrich Dräxlmaier is the Chairman of the Administrative Board."
"Who is the Chairman of the Administrative Board?","Friedrich Dräxlmaier serves as Chairman of the Administrative Board."
"Who leads the management team at Dräxlmaier?","The management is led by Managing Directors Stefan Brandl and Jan Reblin, who serve as Chairmen."
"Name one of the Managing Directors at Dräxlmaier.","Stefan Brandl is one of the Managing Directors and Chairman."
"Name another Managing Director at Dräxlmaier.","Jan Reblin is one of the Managing Directors and Chairman."
"What products does the Dräxlmaier Group specialize in?","The company specializes in the production of wiring harness systems, central electrical and electronic components, interiors, and low- and high-voltage battery systems."
"What are the main product categories of Dräxlmaier?","Dräxlmaier's main product categories are wiring harness systems, electrical components, interiors, and battery systems for electric mobility."
"Does Dräxlmaier produce parts for electric vehicles?","Yes, the company specializes in producing low- and high-voltage battery systems for electric mobility."
"What was the revenue of the Dräxlmaier Group in 2024?","In 2024, the Dräxlmaier Group achieved a revenue of EUR 5.5 billion."
"How much revenue did the company make in 2024?","The corporation group achieved a revenue of EUR 5.5 billion in 2024."
"Tell me the sales figures for 2024.","The revenue for 2024 was EUR 5.5 billion."
"How many employees did the Dräxlmaier Group have in 2024?","The Dräxlmaier Group had around 70,000 employees in 2024."
"What was the workforce size of Dräxlmaier in 2024?","In 2024, the company had approximately 70,000 employees."
"What is the official website of the Dräxlmaier Group?","The official website is www.draexlmaier.com."
"Where can I find Dräxlmaier's website?","The company's website can be found at www.draexlmaier.com."
"What was the company's rank among automotive suppliers in 2022?","In 2022, the company ranked 64th among the 100 largest automotive suppliers in the world by annual revenue."
"How did Dräxlmaier rank globally in 2022?","Dräxlmaier ranked 64th among the world's 100 largest automotive suppliers in 2022."
"Which car companies are customers of the Dräxlmaier Group?","The company's customers include Audi, BMW, Jaguar, Land Rover, Mercedes-Benz, MINI, Porsche, Tesla, and Volkswagen."
"Name some customers of Dräxlmaier.","Some of Dräxlmaier's customers are Audi, BMW, and Porsche."
"Does Dräxlmaier supply parts to Tesla?","Yes, Tesla is listed as one of Dräxlmaier's customers."
"Does Dräxlmaier work with the Volkswagen Group?","Yes, the company's customers include Audi, Porsche, and Volkswagen, which are part of the Volkswagen Group."
"What was the revenue in 2023?","The sales revenue in 2023 was EUR 5.6 billion."
"How many employees did the company have in 2023?","The company had 70,000 employees in 2023."
"What was the revenue in 2022?","The sales revenue in 2022 was EUR 5.1 billion."
"How many people worked at Dräxlmaier in 2022?","Dräxlmaier had 74,000 employees in 2022."
"What was the revenue in 2021?","The sales revenue in 2021 was EUR 4.6 billion."
"What was the employee count in 2021?","The employee count in 2021 was 72,000."
"How much revenue did Dräxlmaier make in 2020?","In 2020, the sales revenue was EUR 4.18 billion."
"How many employees were there in 2020?","There were 74,000 employees in 2020."
"What was the sales figure for 2019?","The sales figure for 2019 was EUR 4.91 billion."
"How many people were employed by Dräxlmaier in 2019?","Dräxlmaier employed 79,400 people in 2019."
"Compare the revenue of 2024 and 2023.","The revenue decreased slightly from EUR 5.6 billion in 2023 to EUR 5.5 billion in 2024."
"How did the number of employees change between 2023 and 2024?","The number of employees remained stable at 70,000 between 2023 and 2024."
"What is a wiring tree developed by Dräxlmaier?","A wiring tree, also known as a wiring harness system, is one of the key products manufactured by the Dräxlmaier Group."
"What does Dräxlmaier supply to the automotive industry?","As an automotive supplier, Dräxlmaier supplies wiring harness systems, electrical components, interior systems, and battery systems."
"What kind of electrical systems does the company produce?","The company produces all elements of a wiring harness system, such as high-voltage and battery wiring harnesses, data wires, and engine wiring harnesses."
"Does Dräxlmaier make data wires for cars?","Yes, data wires are part of the wiring harness systems that Dräxlmaier produces."
"Tell me about Dräxlmaier's component systems.","Dräxlmaier produces high-voltage and battery wiring, stand-alone wiring harnesses, data cables, motor wiring harnesses, sensors, switches, and fuse boxes."
"Does the company manufacture sensors and switches?","Yes, the company manufactures sensors and switches as part of its component systems."
"What kind of interior systems does Dräxlmaier make?","Dräxlmaier manufactures instrument panels, centre consoles, and door panels for premium automobiles."
"Can you give an example of an interior system Dräxlmaier produces?","Dräxlmaier produces the centre console for vehicles like the Mercedes-Benz 205."
"Does Dräxlmaier produce complete modules?","Yes, the company produces complete door and cockpit modules that are adapted to the special equipment of the respective vehicle."
"Is ambient lighting a product of Dräxlmaier?","Yes, the company creates RGB ambient lighting for vehicle interiors."
"What kind of battery systems does the company's portfolio include?","The product portfolio for battery systems includes electric high-voltage and low-voltage battery systems on a lithium-ion basis, from 12 volt to 900 volt."
"What is the voltage range of Dräxlmaier's battery systems?","Dräxlmaier's battery systems range from 12 volts to 900 volts."
"What was the first order placed with the Dräxlmaier Group?","The first order was for the production of 50,000 wiring harnesses for the Goggomobil by Hans Glas GmbH."
"When did Dräxlmaier receive its first order?","The company's first order was in May 1958."
"What was the first car Dräxlmaier supplied parts for?","The first car was the Goggomobil, for which Dräxlmaier supplied wiring harnesses and later the entire vehicle equipment."
"What year did Dräxlmaier build its first factory?","The company's first own factory building was built in 1964."
"When did BMW become a customer of Dräxlmaier?","BMW became a new customer in 1966."
