Question,Answer
"What's the company's remote work policy?","Innovatech Solutions offers a hybrid work model for eligible roles, typically allowing up to two days of remote work per week. This is subject to your manager's approval and role requirements. The full 'Flexible Work Policy' is on the intranet."
"How do I request my vacation time?","All vacation requests must be submitted through the 'Time Off' section in our HR portal, Workday. Please submit requests at least two weeks in advance to ensure proper planning and to get manager approval."
"I've forgotten my computer password. What do I do?","You can reset your password using the 'Forgot Password' link on the Windows login screen. If that doesn't work, please create a ticket with the IT Helpdesk via the support portal or call them for immediate help."
"Is there a dress code for the office?","Our office dress code is business casual. This means professional and appropriate attire. For plant and lab areas, mandatory Personal Protective Equipment (PPE) must be worn at all times, which supersedes the office dress code."
"How do I report a safety hazard I've noticed?","Report any safety hazard or near miss immediately to your direct supervisor. You must also log the event in the 'HSE Incident Reporting' system on the intranet. Your proactive reporting helps us prevent future accidents."
"What is the process for expense reimbursement?","Expense reports must be submitted through the Concur platform within 30 days of the expense date. Please ensure all receipts are uploaded and categorized correctly according to the 'Travel and Expense Policy'."
"Where can I find details about my health insurance?","A detailed summary of your health insurance plan, including coverage and provider information, is available in Workday under the 'Benefits' section."
"How can I book a conference room?","Conference rooms can be booked directly through your Outlook calendar. When creating a meeting invitation, use the 'Room Finder' feature to check availability and select a suitable room for your meeting."
"What is the Innovatech Code of Conduct?","Our Code of Conduct is the foundation of our ethical culture. It outlines our commitment to integrity, respect, and legal compliance. All employees must complete an annual training and acknowledgement of the Code, which is available on the intranet."
"How is overtime paid?","All overtime work must be pre-approved by your manager. Overtime hours are compensated at 1.5 times your normal hourly rate, in line with local labor laws. This will be reflected in your next payslip."
"I think I received a phishing email. What should I do?","Do not click any links, open attachments, or reply to the email. Use the 'Report Phishing' button in Outlook to send it directly to the IT Security team. When in doubt, contact the IT Helpdesk."
"Can I install my own software on my work laptop?","No, installing unauthorized software is strictly prohibited for security reasons. To request new software, please submit a business justification through the 'Software Request' form on the IT service portal."
"What is the company's anti-harassment policy?","We have a zero-tolerance policy for any form of harassment or discrimination. If you experience or witness such behavior, report it immediately to your manager, HR Business Partner, or use the confidential Ethics Hotline."
"I lost my ID badge. How do I get a new one?","Report the lost badge to the Security office immediately so they can deactivate it. They will issue a replacement. A small replacement fee may be deducted from your next paycheck."
"Are there any training programs available?","Absolutely. We offer many courses through our online learning platform, 'Innovatech Academy'. We also support external certifications relevant to your role. Please discuss your development plan with your manager."
"What are the rules for accepting gifts from suppliers?","Our 'Anti-Corruption and Gifts Policy' is very strict. You may not accept gifts valued at more than $50. All gifts, regardless of value, must be declared to your manager and the Compliance department."
"Where can I find the company's organization chart?","The complete and updated organizational chart is available in Workday. You can use it to find colleagues and understand departmental reporting structures."
"What is the procedure for a fire alarm evacuation?","During a fire alarm, stop your work and evacuate the building immediately using the nearest marked emergency exit. Proceed to your department's designated assembly point and await instructions from the fire warden."
"Who is my HR Business Partner?","You can find the name and contact details of your assigned HR Business Partner in Workday under the 'My Team' section. They are your main contact for HR-related questions."
"How does the performance review process work?","The annual review is a three-step process: 1) You complete a self-assessment. 2) Your manager completes an assessment. 3) You meet to discuss achievements, feedback, and set future goals."
