Question,Answer
"What is the main purpose of this document?","This document outlines the Portal's terms of use, which you agree to by accessing or using the portal."
"Who is the owner and operator of the portal?","The portal, which includes www.draexlmaier.com and https://login.draexlmaier.com, is owned and operated by the Dräxlmaier Group."
"What does this NDA cover?","This NDA (Non-Disclosure Agreement) covers the terms of use for the Dräxlmaier online access portal."
"What happens when I access the portal?","By accessing or using the Portal, you irrevocably agree to be bound by these Terms."
"What is the definition of 'Portal' in these terms?","'Portal' refers to the online access portal services, including the websites www.draexlmaier.com and https://login.draexlmaier.com."
"How is 'Dräxlmaier Group' defined in the agreement?","The Dräxlmaier Group is defined as the owner and operator of the Portal."
"What is considered 'Material' under these terms?","'Material' is defined as any kind of materials, information, documents, or data presented on or submitted to the Portal."
"What is the distinction between 'Our Material' and 'Your Material'?","'Our Material' is all material on the Portal except for 'Your Material', which is the material you personally submit, post, or upload."
"Can you define 'Your Material'?","'Your Material' means the materials, information, documents, or data that you submit, post, or upload onto the Portal."
"What are 'IP Rights' according to this document?","'IP Rights' are all intellectual property rights, including copyrights, patents, trademarks, domain names, and other similar rights."
"Are confidential information and trade secrets protected under IP Rights?","Yes, know-how, domain names, and confidential information that must be kept confidential are included under IP Rights."
"Do intellectual property rights need to be registered to be protected?","No, the terms cover all rights of a similar nature, whether or not such rights are registered or capable of being registered."
"What am I permitted to do on the Portal?","You are permitted to use the Portal and Our Material only for the limited purposes set out in paragraph 2(B)."
"Am I allowed to reproduce content I find on the portal?","No, reproducing Our Material is listed as a prohibited action under paragraph 2(B)."
"Is it permissible to sell information from the portal?","No, reselling or distributing Our Material by any means of communication is strictly prohibited."
"Can I post portal content on my social media accounts?","No, uploading or reporting Our Material on any other site on the Internet is prohibited."
"What does 'framing' the portal mean and is it allowed?","'Framing' means displaying the portal's content within another website's frame. This is explicitly prohibited."
"What are the rules for downloading material?","You may access and download Our Material for your own use only, provided you do not modify it and you leave all copyright notices intact."
"Can I use downloaded documents for a commercial presentation?","No, the terms state that you may download Our Material for your own use only. Reselling or distributing it is prohibited."
"What must I preserve on downloaded materials?","You must ensure that all copyright and trademark notices contained on Our Material remain intact and are not removed."
"Is it okay to modify the portal's code?","No, you must not modify or copy the layout of the Portal or its source and object code."
"What are the principles of responsible use for the Portal?","You must use the Portal for lawful and proper purposes only and must not store or transmit any unlawful or obscene material."
"Are there any location-based restrictions for content?","Yes, you must not handle any Material in a way that would be unlawful in Germany or any other State or Territory connected to its use."
"What is the rule about trade secrets?","You must not make available any Material that may be viewed by any entity as a protected trade secret."
"What guarantee do I provide about the material I upload?","You warrant and represent that 'Your Material' is current, complete, accurate, not defamatory, and does not infringe on anyone's rights."
"Am I responsible for keeping my uploaded information current?","Yes, you agree to the extent possible to promptly update Your Material to maintain its completeness and accuracy."
"Can I post critical reviews of other companies on the portal?","No, you warrant that Your Material is not defamatory and does not constitute an unfair comparison or disparage the offerings of any person or corporation."
"What guarantee does Dräxlmaier Group give about using my material?","Dräxlmaier Group warrants that its Department's use of Your Material will not infringe on any laws."
"Can the company ask me for identification?","Yes, Dräxlmaier Group may reasonably request proof of your identity for verification purposes, and you must comply promptly."
"What are the consequences if I don't follow the portal's rules?","If you do not comply with the rules, Dräxlmaier may terminate or suspend your access to the Portal."
"What is the indemnity clause about?","It means you must cover all legal costs and financial losses that Dräxlmaier Group might incur as a result of any claim arising from your use of the Portal."
"If the company is sued because of my actions on the portal, what happens?","You are obligated to indemnify and cover all losses, liabilities, and legal costs incurred by the Dräxlmaier Group from such a lawsuit."
"What are the first two things to do if my password is hacked?","First, you must immediately change your password. Second, you must immediately inform your Dräxlmaier contact."
"Who is the specific contact person if my password is compromised?","The specific contact listed for a compromised password is Boujattas.Mohamed@draexlmaier.com."
"What are my main responsibilities for my account?","You are responsible for maintaining the confidentiality of all your account information, including user names, logins, and passwords."
